"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Freq"
"689","young adult-2","Female","Non-Hispanic Black","Some college","Never Married","Poverty Index > 1.85","Not Covered","4 to 9","No","Never true","Never true","No","Yes","Not at Risk","No","Never","Less than Weekly","No","No",1
"690","middle age","Female","Hispanic","Less than High School","Previously Married","Poverty Index > 1.85","Not Covered","4 to 9","No","Never true","Never true","No","Yes","Not at Risk","No","Never","Less than Weekly","No","No",1
"691","older adult","Female","Other","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","Not at Risk","No","Never","Less than Weekly","No","No",1
"692","young adult-2","Female","Hispanic","Less than High School","Never Married","Poverty Index <= 1.3","Covered","2 to 3","No","Often True","Often True","No","No","Not at Risk","No","Never","Less than Weekly","No","No",1
"693","young adult-2","Female","Hispanic","College Graduate or above","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","Not at Risk","No","Never","Less than Weekly","No","No",1
"694","middle age","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","Not at Risk","No","Never","Less than Weekly","No","No",1
"695","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index in (1.30, 1.85)","Covered","10 to 12","Yes","Often True","Often True","Yes","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"696","middle age","Female","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Sometimes true","Sometimes true","Yes","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"697","middle age","Female","Non-Hispanic Black","High School/GED","Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Never true","Yes","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"698","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index in (1.30, 1.85)","Covered","1","No","Never true","Never true","Yes","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"699","middle age","Female","Non-Hispanic Black","Some college","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"700","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"701","older adult","Male","Hispanic","Less than High School","Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","Yes","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"702","older adult","Female","Other","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","Yes","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"703","middle age","Female","Hispanic","Less than High School","Previously Married","Poverty Index > 1.85","Not Covered","4 to 9","No","Often True","Often True","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"704","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","No","Often True","Often True","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"705","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","None","No","Sometimes true","Sometimes true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"706","middle age","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","4 to 9","No","Sometimes true","Sometimes true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"707","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Sometimes true","Sometimes true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"708","middle age","Male","Hispanic","Some college","Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"709","older adult","Female","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Sometimes true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"710","older adult","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","Yes","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"711","young adult-2","Male","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Not Covered","1","Yes","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"712","older adult","Female","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index > 1.85","Covered","4 to 9","Yes","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"713","middle age","Female","Hispanic","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","4 to 9","Yes","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"714","middle age","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index in (1.30, 1.85)","Not Covered","10 to 12","Yes","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"715","older adult","Female","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"716","middle age","Female","Hispanic","Less than High School","Never Married","Poverty Index > 1.85","Covered","13 or more","Yes","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"717","middle age","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"718","middle age","Female","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Not Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"719","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"720","middle age","Female","Other","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"721","older adult","Female","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"722","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"723","older adult","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"724","older adult","Female","Hispanic","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"725","older adult","Male","Non-Hispanic White","Less than High School","Never Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"726","middle age","Female","Non-Hispanic Black","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"727","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"728","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",2
"729","older adult","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"730","middle age","Female","Other","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"731","middle age","Female","Hispanic","Some college","Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"732","middle age","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"733","older adult","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"734","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"735","older adult","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","No",1
"736","middle age","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","No","Often True","Often True","Yes","No","At Risk","No","Never","Less than Weekly","No","No",1
"737","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Often True","Often True","Yes","No","At Risk","No","Never","Less than Weekly","No","No",1
"738","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index <= 1.3","Covered","13 or more","No","Often True","Sometimes true","Yes","No","At Risk","No","Never","Less than Weekly","No","No",1
"739","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","None","No","Never true","Never true","Yes","No","At Risk","No","Never","Less than Weekly","No","No",1
"740","older adult","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Covered","2 to 3","No","Never true","Never true","Yes","No","At Risk","No","Never","Less than Weekly","No","No",1
"741","middle age","Female","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","Yes","No","At Risk","No","Never","Less than Weekly","No","No",1
"742","older adult","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","Yes","No","At Risk","No","Never","Less than Weekly","No","No",1
"743","older adult","Female","Hispanic","Less than High School","Married","Poverty Index > 1.85","Covered","1","No","Often True","Often True","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"744","older adult","Female","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Covered","None","No","Sometimes true","Often True","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"745","older adult","Female","Other","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","None","No","Sometimes true","Often True","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"746","young adult-2","Male","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","None","No","Sometimes true","Often True","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"747","middle age","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","No","Sometimes true","Sometimes true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"748","middle age","Female","Hispanic","Some college","Married","Poverty Index > 1.85","Not Covered","None","No","Sometimes true","Sometimes true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"749","middle age","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","1","No","Sometimes true","Sometimes true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"750","older adult","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Sometimes true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"751","young adult-2","Male","Non-Hispanic Black","High School/GED","Never Married","Poverty Index in (1.30, 1.85)","Covered","1","No","Sometimes true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"752","young adult-2","Female","Non-Hispanic White","High School/GED","Never Married","Poverty Index <= 1.3","Not Covered","None","Yes","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"753","middle age","Female","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Not Covered","1","Yes","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"754","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"755","older adult","Female","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","Yes","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"756","middle age","Male","Other","High School/GED","Married","Poverty Index <= 1.3","Not Covered","None","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"757","middle age","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"758","middle age","Female","Hispanic","Less than High School","Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"759","middle age","Female","Other","College Graduate or above","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"760","middle age","Male","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"761","young adult-2","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"762","middle age","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"763","older adult","Male","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"764","older adult","Male","Other","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"765","middle age","Female","Hispanic","Some college","Married","Poverty Index <= 1.3","Not Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"766","older adult","Female","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"767","older adult","Female","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"768","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"769","middle age","Female","Other","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"770","middle age","Female","Other","Some college","Married","Poverty Index > 1.85","Not Covered","10 to 12","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"771","middle age","Female","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"772","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","10 to 12","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"773","young adult-2","Female","Non-Hispanic Black","College Graduate or above","Never Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"774","older adult","Male","Non-Hispanic White","High School/GED","Never Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"775","older adult","Female","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"776","middle age","Female","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","No","At Risk","No","Never","Less than Weekly","No","No",1
"777","middle age","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","Yes","Not at Risk","Yes","Not Asked","Less than Weekly","No","No",1
"778","middle age","Female","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Not Covered","4 to 9","No","Never true","Never true","Yes","No","Not at Risk","Yes","Not Asked","Less than Weekly","No","No",1
"779","middle age","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index in (1.30, 1.85)","Covered","13 or more","No","Never true","Never true","Yes","No","Not at Risk","Yes","Not Asked","Less than Weekly","No","No",1
"780","middle age","Female","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Covered","13 or more","Yes","Never true","Never true","Yes","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"781","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","13 or more","Yes","Never true","Never true","Yes","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"782","older adult","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","Yes","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"783","middle age","Female","Non-Hispanic Black","Less than High School","Never Married","Poverty Index <= 1.3","Not Covered","4 to 9","Yes","Sometimes true","Sometimes true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"784","middle age","Female","Non-Hispanic White","High School/GED","Never Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Sometimes true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"785","middle age","Female","Non-Hispanic White","Some college","Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Sometimes true","Sometimes true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"786","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Never true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"787","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index in (1.30, 1.85)","Covered","1","No","Never true","Never true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"788","middle age","Male","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Not Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"789","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"790","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"791","middle age","Male","Non-Hispanic Black","High School/GED","Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Sometimes true","Sometimes true","Yes","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"792","older adult","Male","Hispanic","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","1","No","Sometimes true","Sometimes true","Yes","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"793","middle age","Female","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Sometimes true","Never true","Yes","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"794","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","None","No","Never true","Never true","Yes","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"795","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","1","No","Never true","Never true","Yes","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"796","middle age","Male","Non-Hispanic White","Some college","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","Yes","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"797","young adult-2","Female","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Covered","1","Yes","Often True","Sometimes true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"798","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Sometimes true","Sometimes true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"799","middle age","Female","Hispanic","High School/GED","Married","Poverty Index in (1.30, 1.85)","Not Covered","2 to 3","Yes","Sometimes true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"800","middle age","Male","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","Yes","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"801","middle age","Male","Non-Hispanic White","High School/GED","Previously Married","Poverty Index > 1.85","Covered","None","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"802","middle age","Male","Non-Hispanic Black","Some college","Married","Poverty Index <= 1.3","Not Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"803","middle age","Female","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"804","middle age","Male","Non-Hispanic Black","Some college","Married","Poverty Index in (1.30, 1.85)","Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"805","middle age","Female","Other","High School/GED","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"806","young adult-2","Male","Hispanic","Less than High School","Never Married","Poverty Index > 1.85","Not Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"807","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"808","middle age","Female","Hispanic","High School/GED","Never Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"809","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","No",1
"810","middle age","Male","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","No","Often True","Often True","Yes","Yes","Not at Risk","No","Not Asked","Less than Weekly","No","No",1
"811","older adult","Female","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","No","Yes","Not at Risk","No","Not Asked","Less than Weekly","No","No",1
"812","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","Not at Risk","No","Not Asked","Less than Weekly","No","No",1
"813","middle age","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","Yes","Not at Risk","No","Not Asked","Less than Weekly","No","No",1
"814","young adult-2","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Covered","None","No","Often True","Sometimes true","No","No","Not at Risk","No","Not Asked","Less than Weekly","No","No",1
"815","older adult","Female","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","None","No","Often True","Sometimes true","No","No","Not at Risk","No","Not Asked","Less than Weekly","No","No",1
"816","middle age","Female","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index <= 1.3","Not Covered","2 to 3","No","Never true","Never true","No","No","Not at Risk","No","Not Asked","Less than Weekly","No","No",1
"817","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","Yes","Often True","Often True","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"818","middle age","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Often True","Often True","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"819","middle age","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","Yes","Sometimes true","Sometimes true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"820","older adult","Female","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","2 to 3","No","Sometimes true","Sometimes true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"821","middle age","Male","Non-Hispanic White","Some college","Previously Married","Poverty Index <= 1.3","Not Covered","2 to 3","Yes","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"822","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Not Covered","4 to 9","Yes","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"823","middle age","Male","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Not Covered","2 to 3","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"824","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"825","older adult","Female","Non-Hispanic White","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"826","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"827","older adult","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"828","older adult","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"829","middle age","Male","Non-Hispanic White","College Graduate or above","Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Sometimes true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"830","older adult","Male","Hispanic","Less than High School","Married","Poverty Index in (1.30, 1.85)","Covered","1","No","Sometimes true","Sometimes true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"831","middle age","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","4 to 9","No","Sometimes true","Sometimes true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"832","middle age","Male","Non-Hispanic Black","Some college","Married","Poverty Index <= 1.3","Covered","None","Yes","Sometimes true","Never true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"833","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Sometimes true","Never true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"834","older adult","Female","Hispanic","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","None","Yes","Never true","Never true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
"835","older adult","Female","Non-Hispanic White","Some college","Previously Married","Poverty Index > 1.85","Covered","4 to 9","Yes","Never true","Never true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","No",1
